ContractID,InsuredName,Producer,Underwriter,Branch,ExpiringContract,Status,InceptionDate,ExpirationDate,Perils,LOB,Form,Currency,UDF1,UDF2,UDF3,UDF4,UDF5,LayerID,LayerPerils,LimitType,Limit1,LimitA,LimitB,LimitC,LimitD,Limit2,DedAmt1,DedAmt2,DedAmt3,DedAmt4,AttachmentAmt,AttachmentPtA,AttachmentPtB,AttachmentPtC,AttachmentPtD,DedType,Premium,AggregateLimitType,AggregateLimit,AggregateAttachmentPt,AggregateDedType,AggregateDedAmt,SublimitPerils,SublimitArea,SubLimitLimitType,SublimitDedType,SubLimitOcc,SublimitPart,SublimitAttachAmt,SublimitLimitA,SublimitLimitB,SublimitLimitC,SublimitLimitD,SublimitAttachA,SublimitAttachB,SublimitAttachC,SublimitAttachD,SublimitDedAmt1,SublimitDedAmt2,SublimitDedAmt3,SublimitDedAmt4,SublimitName,ParentSublimitName,SublimitAggregateLimitType,SublimitAggregateLimit,SublimitAggregateAttachmentPt,SublimitAggregateDedType,SublimitAggregateDedAmt
1255082,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2353473,11534403,E,,,,,,,250000,0,0,0,200000000,200000000,,,,MI,,N,0,0,N,0,11534403,JAPAN,B,B,150000000,0,0,150000000,1,0,0,0,0,0,0,0,0,0,0,,,N,0,0,N,0
1255082,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2353476,11534403,E,,,,,,,250000,0,0,0,400000000,400000000,,,,MI,,N,0,0,N,0,11534403,WS TIER1,B,B,1000000000,0,0,1000000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
1255082,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2353476,11534403,E,,,,,,,250000,0,0,0,400000000,400000000,,,,MI,,N,0,0,N,0,11534403,SWITZERLAND,B,B,1000000000,0,0,1000000000,1,0,0,0,0,0,0,54088.55,0,0,0,,,N,0,0,N,0
1255082,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2353476,11534403,E,,,,,,,250000,0,0,0,400000000,400000000,,,,MI,,N,0,0,N,0,11534403,JAPAN,B,B,150000000,0,0,150000000,1,0,0,0,0,0,0,0,0,0,0,,,N,0,0,N,0
920663,,,,,,A,2021-12-31,2022-12-31,11534403,GC2,Unknown,USD,,,,,,2002587,11534403,E,,,,,,,100000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WS_TIER 1_250K DED,B,B,150000000,0,0,150000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
1255084,,,,,,A,2022-05-30,2023-05-29,11534403,GC1,Unknown,USD,,,,,,2353480,11534403,E,,,,,,,100000,0,0,0,250000000,250000000,,,,B,,N,0,0,N,0,11534403,TIER 1,B,MI,250000000,0,0,250000000,1,0,0,0,0,0,0,0,0,0,0,,,N,0,0,N,0
1255091,,,,,,A,2021-06-17,2022-07-31,11534403,GC1,Unknown,USD,,,,,,2353507,11534403,E,,,,,,,1000000,0,0,0,75000000,75000000,,,,MI,,N,0,0,N,0,11534403,TIER1,B,B,100000000,0,0,100000000,1,0,0,0,0,0,0,1000000,0,0,0,,,N,0,0,N,0
1255091,,,,,,A,2021-06-17,2022-07-31,11534403,GC1,Unknown,USD,,,,,,2353509,11534403,E,,,,,,,1000000,0,0,0,100000000,100000000,,,,MI,,N,0,0,N,0,11534403,TIER1,B,B,150000000,0,0,150000000,1,0,0,0,0,0,0,1000000,0,0,0,,,N,0,0,N,0
1255091,,,,,,A,2021-06-17,2022-07-31,11534403,GC1,Unknown,USD,,,,,,2353511,11534403,E,,,,,,,1000000,0,0,0,150000000,150000000,,,,MI,,N,0,0,N,0,11534403,TIER1,B,B,200000000,0,0,200000000,1,0,0,0,0,0,0,1000000,0,0,0,,,N,0,0,N,0
1255092,,,,,,A,2022-04-01,2023-03-31,11534403,GC1,Unknown,USD,,,,,,2353513,11534403,E,,,,,,,250000,0,0,0,150000000,150000000,,,,MI,,N,0,0,N,0,11534403,WS SPEC,B,B,300000000,0,0,300000000,1,0,0,0,0,0,0,5000000,0,0,0,,,N,0,0,N,0
