EventId,SummaryId,SampleType,EventRate,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
1,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
1,1,2,nan,0.300000,21888.679688,46642.171875,870000.062500,870000.062500,261000.015625,870000.062500
2,1,1,nan,0.000000,249432.031250,0.000000,870000.125000,870000.062500,870000.062500,870000.062500
2,1,2,nan,0.900000,262378.500000,240026.703125,870000.125000,870000.062500,783000.062500,870000.062500
3,1,1,nan,0.000000,870000.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
3,1,2,nan,1.000000,870000.062500,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
5,1,1,nan,0.000000,249432.015625,0.000000,870000.187500,870000.062500,870000.062500,870000.062500
5,1,2,nan,1.000000,259433.343750,156980.500000,870000.187500,870000.062500,870000.062500,870000.062500
12,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
12,1,2,nan,0.200000,12427.113281,26478.738281,870000.062500,870000.062500,174000.015625,870000.062500
17,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
17,1,2,nan,0.100000,29015.484375,0.000000,870000.062500,870000.062500,87000.007812,870000.062500
27,1,1,nan,0.000000,553800.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
27,1,2,nan,1.000000,539049.687500,212816.265625,870000.062500,870000.062500,870000.062500,870000.062500
32,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
32,1,2,nan,0.400000,36166.390625,61334.300781,870000.062500,870000.062500,348000.031250,870000.062500
33,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
33,1,2,nan,0.300000,21614.576172,43090.425781,870000.062500,870000.062500,261000.015625,870000.062500
34,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
34,1,2,nan,0.300000,23476.787109,44030.742188,870000.062500,870000.062500,261000.015625,870000.062500
36,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
36,1,2,nan,0.300000,25083.238281,64008.757812,870000.062500,870000.062500,261000.015625,870000.062500
37,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
37,1,2,nan,0.200000,22162.708984,66261.296875,870000.062500,870000.062500,174000.015625,870000.062500
38,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
38,1,2,nan,0.100000,31421.609375,0.000000,870000.062500,870000.062500,87000.007812,870000.062500
41,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
41,1,2,nan,0.300000,21958.820312,45490.167969,870000.062500,870000.062500,261000.015625,870000.062500
43,1,1,nan,0.000000,870000.062500,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
43,1,2,nan,1.000000,870000.062500,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
44,1,1,nan,0.000000,249432.031250,0.000000,870000.125000,870000.062500,870000.062500,870000.062500
44,1,2,nan,0.900000,244599.265625,203222.765625,870000.125000,870000.062500,783000.062500,870000.062500
46,1,1,nan,0.000000,0.000000,0.000000,360000.000000,870000.187500,870000.187500,870000.187500
46,1,2,nan,0.000000,0.000000,0.000000,360000.000000,870000.187500,0.000000,0.000000
48,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
48,1,2,nan,0.300000,36448.730469,59756.414062,870000.062500,870000.062500,261000.015625,870000.062500
51,1,1,nan,0.000000,349800.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
51,1,2,nan,1.000000,347507.687500,219879.984375,870000.062500,870000.062500,870000.062500,870000.062500
64,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
64,1,2,nan,0.200000,42834.109375,90843.789062,870000.062500,870000.062500,174000.015625,870000.062500
66,1,1,nan,0.000000,451800.031250,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
66,1,2,nan,1.000000,466195.593750,189881.171875,870000.062500,870000.062500,870000.062500,870000.062500
72,1,1,nan,0.000000,51959.980469,0.000000,870000.125000,870000.062500,870000.062500,870000.062500
72,1,2,nan,0.600000,64162.625000,116857.437500,870000.125000,870000.062500,522000.031250,870000.062500
74,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
74,1,2,nan,0.300000,29698.216797,63768.000000,870000.062500,870000.062500,261000.015625,870000.062500
75,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
75,1,2,nan,0.200000,41433.597656,97431.453125,870000.062500,870000.062500,174000.015625,870000.062500
76,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
76,1,2,nan,0.400000,14833.340820,32388.833984,870000.062500,870000.062500,348000.031250,870000.062500
78,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
78,1,2,nan,0.100000,42084.496094,0.000000,870000.062500,870000.062500,87000.007812,870000.062500
79,1,1,nan,0.000000,51959.980469,0.000000,870000.125000,870000.062500,870000.062500,870000.062500
79,1,2,nan,0.800000,86248.281250,108967.132812,870000.125000,870000.062500,696000.062500,870000.062500
84,1,1,nan,0.000000,51959.980469,0.000000,870000.125000,870000.062500,870000.062500,870000.062500
84,1,2,nan,0.600000,55194.000000,57592.261719,870000.125000,870000.062500,522000.031250,870000.062500
85,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
85,1,2,nan,0.300000,29950.283203,49948.734375,870000.062500,870000.062500,261000.015625,870000.062500
87,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
87,1,2,nan,0.200000,2117.253662,5991.021973,870000.062500,870000.062500,174000.015625,870000.062500
89,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
89,1,2,nan,0.300000,42098.343750,85316.531250,870000.062500,870000.062500,261000.015625,870000.062500
92,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
92,1,2,nan,0.300000,34090.289062,72344.562500,870000.062500,870000.062500,261000.015625,870000.062500
102,1,1,nan,0.000000,0.000000,0.000000,870000.062500,870000.062500,870000.062500,870000.062500
