EventId,SummaryId,Quantile,Loss
1,1,0.000000,2815.808594
1,1,0.200000,50403.300781
1,1,0.400000,119765.515625
1,1,0.500000,158712.312500
1,1,0.750000,295136.375000
1,1,1.000000,440594.562500
2,1,0.000000,198054.718750
2,1,0.200000,435293.500000
2,1,0.400000,565145.875000
2,1,0.500000,595187.125000
2,1,0.750000,852619.750000
2,1,1.000000,1745304.750000
3,1,0.000000,1930000.000000
3,1,0.200000,1930000.000000
3,1,0.400000,1930000.000000
3,1,0.500000,1930000.000000
3,1,0.750000,1930000.000000
3,1,1.000000,1930000.125000
5,1,0.000000,434465.437500
5,1,0.200000,476111.968750
5,1,0.400000,684155.375000
5,1,0.500000,818837.187500
5,1,0.750000,989432.312500
5,1,1.000000,1048275.375000
12,1,0.000000,7090.214355
12,1,0.200000,55007.128906
12,1,0.400000,102076.578125
12,1,0.500000,121756.531250
12,1,0.750000,225021.312500
12,1,1.000000,401161.343750
17,1,0.000000,0.000000
17,1,0.200000,16954.880859
17,1,0.400000,98000.601562
17,1,0.500000,124336.578125
17,1,0.750000,170204.968750
17,1,1.000000,833163.000000
27,1,0.000000,747512.062500
27,1,0.200000,936176.625000
27,1,0.400000,1086768.250000
27,1,0.500000,1271345.000000
27,1,0.750000,1643016.000000
27,1,1.000000,1919459.000000
32,1,0.000000,0.000000
32,1,0.200000,50268.230469
32,1,0.400000,139442.468750
32,1,0.500000,188653.406250
32,1,0.750000,439784.218750
32,1,1.000000,602708.750000
33,1,0.000000,0.000000
33,1,0.200000,29002.097656
33,1,0.400000,53146.476562
33,1,0.500000,96997.335938
33,1,0.750000,280894.125000
33,1,1.000000,547096.625000
34,1,0.000000,0.000000
34,1,0.200000,8732.014648
34,1,0.400000,44695.871094
34,1,0.500000,78411.875000
34,1,0.750000,298967.187500
34,1,1.000000,555563.625000
36,1,0.000000,0.000000
36,1,0.200000,5086.643555
36,1,0.400000,97446.296875
36,1,0.500000,116061.468750
36,1,0.750000,270172.687500
36,1,1.000000,440226.281250
37,1,0.000000,0.000000
37,1,0.200000,23698.125000
37,1,0.400000,56832.261719
37,1,0.500000,61406.835938
37,1,0.750000,200384.531250
37,1,1.000000,577425.125000
38,1,0.000000,0.000000
38,1,0.200000,16868.615234
38,1,0.400000,84900.578125
38,1,0.500000,98368.382812
38,1,0.750000,169705.171875
38,1,1.000000,835750.187500
41,1,0.000000,0.000000
41,1,0.200000,0.000000
41,1,0.400000,140493.328125
41,1,0.500000,186529.656250
41,1,0.750000,298641.218750
41,1,1.000000,540564.562500
43,1,0.000000,1930000.000000
43,1,0.200000,1930000.000000
43,1,0.400000,1930000.000000
43,1,0.500000,1930000.000000
43,1,0.750000,1930000.000000
43,1,1.000000,1930000.000000
44,1,0.000000,150900.015625
44,1,0.200000,306340.187500
44,1,0.400000,697344.000000
44,1,0.500000,807073.375000
44,1,0.750000,900098.812500
44,1,1.000000,1576103.500000
46,1,0.000000,0.000000
46,1,0.200000,9760.579102
46,1,0.400000,19635.062500
46,1,0.500000,21510.312500
46,1,0.750000,108296.367188
46,1,1.000000,264832.187500
48,1,0.000000,0.000000
48,1,0.200000,58868.523438
48,1,0.400000,142879.234375
48,1,0.500000,178199.125000
48,1,0.750000,402787.968750
48,1,1.000000,631622.312500
51,1,0.000000,506881.125000
51,1,0.200000,596555.437500
51,1,0.400000,697100.625000
51,1,0.500000,819000.750000
51,1,0.750000,1151477.000000
51,1,1.000000,1912273.750000
64,1,0.000000,0.000000
64,1,0.200000,32067.498047
64,1,0.400000,53106.585938
64,1,0.500000,89942.937500
64,1,0.750000,359224.375000
64,1,1.000000,649886.500000
66,1,0.000000,512890.687500
66,1,0.200000,1002912.250000
66,1,0.400000,1132295.125000
66,1,0.500000,1188962.750000
66,1,0.750000,1322888.750000
66,1,1.000000,1801035.375000
72,1,0.000000,63640.050781
72,1,0.200000,171219.890625
72,1,0.400000,210777.375000
72,1,0.500000,244193.531250
72,1,0.750000,427723.437500
72,1,1.000000,995492.125000
74,1,0.000000,1223.474731
74,1,0.200000,62087.046875
74,1,0.400000,107059.171875
74,1,0.500000,127923.609375
74,1,0.750000,309123.156250
74,1,1.000000,707253.062500
75,1,0.000000,0.000000
75,1,0.200000,20702.044922
75,1,0.400000,84209.687500
75,1,0.500000,146878.218750
75,1,0.750000,254508.156250
75,1,1.000000,873892.875000
76,1,0.000000,0.000000
76,1,0.200000,110755.632812
76,1,0.400000,144497.390625
76,1,0.500000,195524.828125
76,1,0.750000,342588.125000
76,1,1.000000,475809.250000
78,1,0.000000,0.000000
78,1,0.200000,0.000000
78,1,0.400000,75693.406250
78,1,0.500000,105612.726562
78,1,0.750000,192113.375000
78,1,1.000000,1115422.375000
79,1,0.000000,90006.554688
79,1,0.200000,232418.406250
79,1,0.400000,327802.031250
79,1,0.500000,359881.562500
79,1,0.750000,460148.687500
79,1,1.000000,946156.500000
84,1,0.000000,9125.773438
84,1,0.200000,130717.531250
84,1,0.400000,310316.718750
84,1,0.500000,359420.250000
84,1,0.750000,507422.343750
84,1,1.000000,591808.625000
85,1,0.000000,6278.658203
85,1,0.200000,43988.250000
85,1,0.400000,81064.734375
85,1,0.500000,166239.562500
85,1,0.750000,265953.562500
85,1,1.000000,580961.250000
87,1,0.000000,19649.710938
87,1,0.200000,31360.736328
87,1,0.400000,80576.109375
87,1,0.500000,94397.648438
87,1,0.750000,98430.367188
87,1,1.000000,416005.750000
89,1,0.000000,0.000000
89,1,0.200000,50152.425781
89,1,0.400000,77245.757812
89,1,0.500000,120968.765625
89,1,0.750000,335234.906250
89,1,1.000000,751497.375000
92,1,0.000000,0.000000
92,1,0.200000,111293.015625
92,1,0.400000,137400.625000
92,1,0.500000,144709.093750
92,1,0.750000,310372.500000
92,1,1.000000,576424.562500
102,1,0.000000,0.000000
102,1,0.200000,26682.291016
102,1,0.400000,157793.859375
102,1,0.500000,188645.562500
102,1,0.750000,362738.406250
102,1,1.000000,692374.875000
105,1,0.000000,25474.826172
105,1,0.200000,37224.773438
105,1,0.400000,58058.515625
105,1,0.500000,83175.312500
105,1,0.750000,389712.187500
105,1,1.000000,736625.625000
109,1,0.000000,0.000000
109,1,0.200000,31237.007812
109,1,0.400000,135439.562500
109,1,0.500000,170110.468750
109,1,0.750000,269439.093750
109,1,1.000000,548327.062500
115,1,0.000000,23717.605469
115,1,0.200000,165198.734375
115,1,0.400000,376733.406250
115,1,0.500000,419663.437500
115,1,0.750000,473791.250000
115,1,1.000000,819752.437500
116,1,0.000000,0.000000
116,1,0.200000,39338.929688
116,1,0.400000,99083.617188
116,1,0.500000,170706.562500
116,1,0.750000,244705.734375
116,1,1.000000,457809.687500
119,1,0.000000,0.000000
119,1,0.200000,98405.468750
119,1,0.400000,141172.921875
119,1,0.500000,158483.375000
119,1,0.750000,198117.906250
119,1,1.000000,838636.875000
120,1,0.000000,21472.269531
120,1,0.200000,107579.656250
120,1,0.400000,178660.687500
120,1,0.500000,189516.187500
120,1,0.750000,214359.546875
120,1,1.000000,517161.750000
125,1,0.000000,0.000000
125,1,0.200000,51338.179688
125,1,0.400000,86733.187500
125,1,0.500000,105745.781250
125,1,0.750000,163831.859375
125,1,1.000000,1021077.500000
132,1,0.000000,21798.847656
132,1,0.200000,36815.578125
132,1,0.400000,52447.414062
132,1,0.500000,62708.523438
132,1,0.750000,293127.437500
132,1,1.000000,600571.375000
134,1,0.000000,0.000000
134,1,0.200000,10551.518555
134,1,0.400000,49596.316406
134,1,0.500000,74844.812500
134,1,0.750000,239306.000000
134,1,1.000000,1058766.625000
137,1,0.000000,25836.546875
137,1,0.200000,242827.265625
137,1,0.400000,312797.218750
137,1,0.500000,347532.125000
137,1,0.750000,590966.937500
137,1,1.000000,874847.687500
145,1,0.000000,0.000000
145,1,0.200000,10984.823242
145,1,0.400000,120705.140625
145,1,0.500000,132330.781250
145,1,0.750000,296700.343750
145,1,1.000000,511691.312500
147,1,0.000000,0.000000
147,1,0.200000,20111.570312
147,1,0.400000,128540.593750
147,1,0.500000,181509.812500
147,1,0.750000,393112.062500
147,1,1.000000,651991.437500
148,1,0.000000,0.000000
148,1,0.200000,14819.041992
148,1,0.400000,47944.585938
148,1,0.500000,61869.328125
148,1,0.750000,265910.875000
148,1,1.000000,697760.187500
149,1,0.000000,0.000000
149,1,0.200000,34026.507812
149,1,0.400000,54303.996094
149,1,0.500000,71657.078125
149,1,0.750000,219146.328125
149,1,1.000000,562446.812500
161,1,0.000000,0.000000
161,1,0.200000,15187.744141
161,1,0.400000,29338.433594
161,1,0.500000,146780.656250
161,1,0.750000,284407.625000
161,1,1.000000,633104.375000
162,1,0.000000,0.000000
162,1,0.200000,24646.382812
162,1,0.400000,135543.234375
162,1,0.500000,194218.375000
162,1,0.750000,330522.500000
162,1,1.000000,536512.062500
164,1,0.000000,1593.484253
164,1,0.200000,12491.292969
164,1,0.400000,42734.480469
164,1,0.500000,49535.101562
164,1,0.750000,204417.484375
164,1,1.000000,813076.000000
166,1,0.000000,0.000000
166,1,0.200000,0.000000
166,1,0.400000,34215.136719
166,1,0.500000,45851.734375
166,1,0.750000,196617.875000
166,1,1.000000,493865.625000
168,1,0.000000,0.000000
168,1,0.200000,7644.604004
168,1,0.400000,111030.500000
168,1,0.500000,122209.296875
168,1,0.750000,271706.312500
168,1,1.000000,589348.562500
175,1,0.000000,21145.771484
175,1,0.200000,26789.843750
175,1,0.400000,52335.648438
175,1,0.500000,73482.867188
175,1,0.750000,140036.687500
175,1,1.000000,1079304.750000
177,1,0.000000,264877.687500
177,1,0.200000,481522.500000
177,1,0.400000,541998.187500
177,1,0.500000,737685.250000
177,1,0.750000,1089729.500000
177,1,1.000000,1189357.375000
178,1,0.000000,11716.537109
178,1,0.200000,46085.351562
178,1,0.400000,58138.230469
178,1,0.500000,79806.828125
178,1,0.750000,225709.875000
178,1,1.000000,492850.031250
183,1,0.000000,0.000000
183,1,0.200000,34438.484375
183,1,0.400000,103478.750000
183,1,0.500000,142186.609375
183,1,0.750000,312942.000000
183,1,1.000000,501971.000000
187,1,0.000000,0.000000
187,1,0.200000,8345.233398
187,1,0.400000,124562.515625
187,1,0.500000,165196.812500
187,1,0.750000,369172.843750
187,1,1.000000,651493.750000
192,1,0.000000,0.000000
192,1,0.200000,7802.399414
192,1,0.400000,47457.652344
192,1,0.500000,96728.828125
192,1,0.750000,224010.671875
192,1,1.000000,887127.937500
195,1,0.000000,0.000000
195,1,0.200000,42338.562500
195,1,0.400000,106847.039062
195,1,0.500000,149810.234375
195,1,0.750000,325570.906250
195,1,1.000000,688117.687500
196,1,0.000000,5917.351562
196,1,0.200000,56813.726562
196,1,0.400000,101209.867188
196,1,0.500000,114398.820312
196,1,0.750000,265051.687500
196,1,1.000000,620632.625000
211,1,0.000000,28910.835938
211,1,0.200000,87378.546875
211,1,0.400000,138069.281250
211,1,0.500000,160536.312500
211,1,0.750000,237686.187500
211,1,1.000000,306320.625000
213,1,0.000000,1924.271362
213,1,0.200000,43429.515625
213,1,0.400000,124115.054688
213,1,0.500000,132188.125000
213,1,0.750000,362770.375000
213,1,1.000000,568291.812500
218,1,0.000000,76774.890625
218,1,0.200000,273736.468750
218,1,0.400000,374327.406250
218,1,0.500000,422389.843750
218,1,0.750000,810587.812500
218,1,1.000000,1336518.750000
221,1,0.000000,0.000000
221,1,0.200000,59104.039062
221,1,0.400000,164151.500000
221,1,0.500000,183706.031250
221,1,0.750000,274602.750000
221,1,1.000000,640179.750000
222,1,0.000000,0.000000
222,1,0.200000,189.017563
222,1,0.400000,85043.750000
222,1,0.500000,120439.062500
222,1,0.750000,300537.125000
222,1,1.000000,730466.312500
231,1,0.000000,0.000000
231,1,0.200000,42727.207031
231,1,0.400000,98929.703125
231,1,0.500000,137965.281250
231,1,0.750000,263333.250000
231,1,1.000000,421135.281250
233,1,0.000000,1930000.000000
233,1,0.200000,1930000.000000
233,1,0.400000,1930000.000000
233,1,0.500000,1930000.000000
233,1,0.750000,1930000.000000
233,1,1.000000,1930000.250000
237,1,0.000000,21461.494141
237,1,0.200000,121674.359375
237,1,0.400000,277762.718750
237,1,0.500000,332439.312500
237,1,0.750000,470264.093750
237,1,1.000000,970056.062500
241,1,0.000000,0.000000
241,1,0.200000,75662.250000
241,1,0.400000,89978.218750
241,1,0.500000,101124.171875
241,1,0.750000,287554.750000
241,1,1.000000,461998.437500
244,1,0.000000,31791.265625
244,1,0.200000,47380.769531
244,1,0.400000,74736.078125
244,1,0.500000,106070.359375
244,1,0.750000,317749.812500
244,1,1.000000,812577.062500
249,1,0.000000,0.000000
249,1,0.200000,70337.500000
249,1,0.400000,188171.609375
249,1,0.500000,200412.718750
249,1,0.750000,363129.156250
249,1,1.000000,465895.750000
254,1,0.000000,326483.625000
254,1,0.200000,455190.218750
254,1,0.400000,559173.562500
254,1,0.500000,664369.375000
254,1,0.750000,999024.875000
254,1,1.000000,1596945.625000
256,1,0.000000,0.000000
256,1,0.200000,709.093079
256,1,0.400000,88132.343750
256,1,0.500000,112597.406250
256,1,0.750000,268351.687500
256,1,1.000000,468601.156250
258,1,0.000000,0.000000
258,1,0.200000,22101.193359
258,1,0.400000,112224.843750
258,1,0.500000,181300.062500
258,1,0.750000,287062.343750
258,1,1.000000,584613.437500
261,1,0.000000,0.000000
261,1,0.200000,59744.546875
261,1,0.400000,107746.054688
261,1,0.500000,125911.664062
261,1,0.750000,300088.843750
261,1,1.000000,330089.875000
282,1,0.000000,0.000000
282,1,0.200000,23021.878906
282,1,0.400000,110500.015625
282,1,0.500000,125411.117188
282,1,0.750000,209671.609375
282,1,1.000000,530497.937500
283,1,0.000000,0.000000
283,1,0.200000,31595.207031
283,1,0.400000,100395.523438
283,1,0.500000,161711.031250
283,1,0.750000,318533.656250
283,1,1.000000,440889.375000
286,1,0.000000,0.000000
286,1,0.200000,0.000000
286,1,0.400000,18298.363281
286,1,0.500000,99075.937500
286,1,0.750000,493296.875000
286,1,1.000000,625499.000000
287,1,0.000000,28214.220703
287,1,0.200000,138267.031250
287,1,0.400000,216948.875000
287,1,0.500000,368655.000000
287,1,0.750000,530558.875000
287,1,1.000000,727916.562500
289,1,0.000000,0.000000
289,1,0.200000,4277.657715
289,1,0.400000,65626.867188
289,1,0.500000,124849.671875
289,1,0.750000,417539.000000
289,1,1.000000,764694.937500
290,1,0.000000,22255.531250
290,1,0.200000,72467.500000
290,1,0.400000,115108.507812
290,1,0.500000,148643.484375
290,1,0.750000,288699.281250
290,1,1.000000,566516.000000
291,1,0.000000,506620.250000
291,1,0.200000,1367827.875000
291,1,0.400000,1579648.750000
291,1,0.500000,1730702.125000
291,1,0.750000,1898596.375000
291,1,1.000000,1930000.000000
292,1,0.000000,579706.750000
292,1,0.200000,651389.937500
292,1,0.400000,765389.125000
292,1,0.500000,837480.250000
292,1,0.750000,1045064.812500
292,1,1.000000,1552738.250000
293,1,0.000000,0.000000
293,1,0.200000,4501.541992
293,1,0.400000,49657.421875
293,1,0.500000,132050.375000
293,1,0.750000,272099.875000
293,1,1.000000,632570.187500
294,1,0.000000,901101.625000
294,1,0.200000,1189129.375000
294,1,0.400000,1266964.750000
294,1,0.500000,1308499.375000
294,1,0.750000,1499931.875000
294,1,1.000000,1906362.000000
297,1,0.000000,6131.017578
297,1,0.200000,39363.164062
297,1,0.400000,83695.500000
297,1,0.500000,164466.187500
297,1,0.750000,408779.718750
297,1,1.000000,491974.406250
301,1,0.000000,864897.062500
