group_set_id,output_set_id,SummaryId,GroupPeriod,Period,group_event_set_id,EventId,Loss,LossType
0,0,1,2,756,1,1094,198404.0,1
0,0,1,2,756,1,1094,167263.875,3
0,0,1,2,756,1,1095,99202.0,1
0,0,1,2,756,1,1095,62802.050781,3
0,0,1,10,642,1,919,198404.0,1
0,0,1,10,642,1,919,168449.796875,3
0,0,1,12,319,1,447,99202.0,1
0,0,1,12,319,1,447,101610.875,3
0,0,1,15,456,1,655,99202.0,1
0,0,1,15,456,1,655,104905.203125,3
0,0,1,16,618,1,885,198404.0,1
0,0,1,16,618,1,885,209056.828125,3
0,0,1,18,924,1,1334,198404.0,1
0,0,1,18,924,1,1334,175509.8125,3
0,0,1,21,891,1,1296,198404.0,1
0,0,1,21,891,1,1296,221234.953125,3
0,0,1,23,134,1,183,198404.0,1
0,0,1,23,134,1,183,185059.265625,3
0,0,1,24,763,1,1105,198404.0,1
0,0,1,24,763,1,1105,164617.390625,3
0,0,1,24,763,1,1107,198404.0,1
0,0,1,24,763,1,1107,139984.859375,3
0,0,1,28,519,1,737,198404.0,1
0,0,1,28,519,1,737,195944.359375,3
0,0,1,31,539,1,768,99202.0,1
0,0,1,31,539,1,768,129557.125,3
0,0,1,34,399,1,561,198404.0,1
0,0,1,34,399,1,561,217526.203125,3
0,0,1,35,607,1,868,198404.0,1
0,0,1,35,607,1,868,200653.9375,3
0,0,1,42,374,1,521,198404.0,1
0,0,1,42,374,1,521,254070.421875,3
0,0,1,49,106,1,149,198404.0,1
0,0,1,49,106,1,149,160265.90625,3
0,0,1,59,116,1,161,198404.0,1
0,0,1,59,116,1,161,196464.25,3
0,0,1,59,116,1,162,198404.0,1
0,0,1,59,116,1,162,201897.90625,3
0,0,1,63,543,1,776,198404.0,1
0,0,1,63,543,1,776,216733.421875,3
0,0,1,63,543,1,777,99202.0,1
0,0,1,63,543,1,777,119011.4375,3
0,0,1,69,833,1,1221,99202.0,1
0,0,1,69,833,1,1221,116969.335938,3
0,0,1,70,548,1,785,198404.0,1
0,0,1,70,548,1,785,243705.03125,3
0,0,1,71,597,1,847,198404.0,1
0,0,1,71,597,1,847,166368.734375,3
0,0,1,71,597,1,848,198404.0,1
0,0,1,71,597,1,848,173769.09375,3
0,0,1,76,358,1,502,198404.0,1
0,0,1,76,358,1,502,195483.53125,3
0,0,1,79,77,1,115,382140.0,1
0,0,1,79,77,1,115,393775.0,3
0,0,1,79,77,1,116,198404.0,1
0,0,1,79,77,1,116,176015.59375,3
0,0,1,80,213,1,307,945700.0,1
0,0,1,80,213,1,307,920124.3125,3
0,0,1,85,552,1,790,198404.0,1
0,0,1,85,552,1,790,206517.984375,3
0,0,1,87,962,1,1392,198404.0,1
0,0,1,87,962,1,1392,208866.8125,3
0,0,1,91,57,1,85,198404.0,1
0,0,1,91,57,1,85,192260.796875,3
0,0,1,92,872,1,1262,198404.0,1
0,0,1,92,872,1,1262,162272.015625,3
0,0,1,92,872,1,1265,198404.0,1
0,0,1,92,872,1,1265,166989.625,3
0,0,1,100,382,1,539,198404.0,1
0,0,1,100,382,1,539,175402.546875,3
0,0,1,104,731,1,1056,198404.0,1
0,0,1,104,731,1,1056,177725.40625,3
0,0,1,106,603,1,861,565875.9375,1
0,0,1,106,603,1,861,542141.125,3
0,0,1,106,603,1,862,198404.0,1
0,0,1,106,603,1,862,179170.6875,3
0,0,1,107,384,1,543,99202.0,1
0,0,1,107,384,1,543,113589.828125,3
0,0,1,108,758,1,1098,198404.0,1
0,0,1,108,758,1,1098,187274.359375,3
0,0,1,111,371,1,517,198404.0,1
0,0,1,111,371,1,517,167819.84375,3
0,0,1,123,874,1,1267,198404.0,1
0,0,1,123,874,1,1267,195095.171875,3
0,0,1,127,353,1,497,198404.0,1
0,0,1,127,353,1,497,229839.171875,3
0,0,1,127,353,1,498,198404.0,1
0,0,1,127,353,1,498,193176.921875,3
0,0,1,129,839,1,1225,198404.0,1
0,0,1,129,839,1,1225,192355.46875,3
0,0,1,129,839,1,1226,198404.0,1
0,0,1,129,839,1,1226,175468.25,3
0,0,1,131,285,1,400,198404.0,1
0,0,1,131,285,1,400,206263.984375,3
0,0,1,134,663,1,951,198404.0,1
0,0,1,134,663,1,951,219800.921875,3
0,0,1,134,663,1,952,198404.0,1
0,0,1,134,663,1,952,232153.078125,3
0,0,1,136,465,1,674,198404.0,1
0,0,1,136,465,1,674,209660.21875,3
0,0,1,148,86,1,125,198404.0,1
0,0,1,148,86,1,125,190189.59375,3
0,0,1,149,267,1,375,198404.0,1
0,0,1,149,267,1,375,203470.21875,3
0,0,1,150,164,1,241,198404.0,1
0,0,1,150,164,1,241,180651.328125,3
0,0,1,159,930,1,1345,99202.0,1
0,0,1,159,930,1,1345,110418.875,3
0,0,1,160,392,1,551,198404.0,1
0,0,1,160,392,1,551,219821.625,3
0,0,1,161,743,1,1075,198404.0,1
0,0,1,161,743,1,1075,207006.53125,3
0,0,1,161,743,1,1077,99202.0,1
0,0,1,161,743,1,1077,94108.875,3
0,0,1,162,240,1,333,1516980.0,1
0,0,1,162,240,1,333,1449608.0,3
0,0,1,166,293,1,408,1516980.0,1
0,0,1,166,293,1,408,1473661.875,3
0,0,1,173,174,1,256,198404.0,1
0,0,1,173,174,1,256,166767.46875,3
0,0,1,176,968,1,1405,99202.0,1
0,0,1,176,968,1,1405,123811.328125,3
0,0,1,184,425,1,612,198404.0,1
