group_set_id,SummaryId,LossType,Mean,Std
1,1,1,15258.891977,32835.404992
1,1,3,14940.773236,32141.984271
1,2,1,54793.293906,117908.954277
1,2,3,53929.959660,114763.124828
1,3,1,11097.375939,23880.294511
1,3,3,10939.078599,23389.515906
1,4,1,2080.757985,4477.555218
1,4,3,2042.802178,4370.192831
1,5,1,17339.649879,37312.960151
1,5,3,16889.927347,36400.100785
1,6,1,48551.019906,104476.288587
1,6,3,48155.919380,101968.410737
1,7,1,6242.273988,13432.665676
1,7,3,6115.324544,13052.241372
1,8,1,21501.165879,46268.070611
1,8,3,21392.477601,45328.701148
1,9,1,29130.611953,62685.773164
1,9,3,28890.503021,60926.280143
1,10,1,29824.197953,64178.291574
1,10,3,29387.891989,63060.491345
