group_set_id,SummaryId,EPCalc,EPType,RP,Loss
1,1,1,1,10000.000000,220000.000000
1,1,1,1,5000.000000,220000.000000
1,1,1,1,3333.333333,220000.000000
1,1,1,1,2500.000000,220000.000000
1,1,1,1,2000.000000,220000.000000
1,1,1,1,1666.666667,220000.000000
1,1,1,1,1428.571429,220000.000000
1,1,1,1,1250.000000,220000.000000
1,1,1,1,1111.111111,220000.000000
1,1,1,1,1000.000000,220000.000000
1,1,1,1,909.090909,220000.000000
1,1,1,1,833.333333,220000.000000
1,1,1,1,769.230769,220000.000000
1,1,1,1,714.285714,220000.000000
1,1,1,1,666.666667,220000.000000
1,1,1,1,625.000000,220000.000000
1,1,1,1,588.235294,220000.000000
1,1,1,1,555.555556,220000.000000
1,1,1,1,526.315789,220000.000000
1,1,1,1,500.000000,220000.000000
1,1,1,1,476.190476,220000.000000
1,1,1,1,454.545455,220000.000000
1,1,1,1,434.782609,220000.000000
1,1,1,1,416.666667,220000.000000
1,1,1,1,400.000000,220000.000000
1,1,1,1,384.615385,220000.000000
1,1,1,1,370.370370,220000.000000
1,1,1,1,357.142857,220000.000000
1,1,1,1,344.827586,220000.000000
1,1,1,1,333.333333,220000.000000
1,1,1,1,322.580645,220000.000000
1,1,1,1,312.500000,220000.000000
1,1,1,1,303.030303,220000.000000
1,1,1,1,294.117647,220000.000000
1,1,1,1,285.714286,220000.000000
1,1,1,1,277.777778,220000.000000
1,1,1,1,270.270270,220000.000000
1,1,1,1,263.157895,220000.000000
1,1,1,1,256.410256,220000.000000
1,1,1,1,250.000000,220000.000000
1,1,1,1,243.902439,220000.000000
1,1,1,1,238.095238,220000.000000
1,1,1,1,232.558140,220000.000000
1,1,1,1,227.272727,220000.000000
1,1,1,1,222.222222,220000.000000
1,1,1,1,217.391304,220000.000000
1,1,1,1,212.765957,220000.000000
1,1,1,1,208.333333,220000.000000
1,1,1,1,204.081633,220000.000000
1,1,1,1,200.000000,220000.000000
1,1,1,1,196.078431,220000.000000
1,1,1,1,192.307692,220000.000000
1,1,1,1,188.679245,220000.000000
1,1,1,1,185.185185,220000.000000
1,1,1,1,181.818182,220000.000000
1,1,1,1,178.571429,220000.000000
1,1,1,1,175.438596,220000.000000
1,1,1,1,172.413793,220000.000000
1,1,1,1,169.491525,220000.000000
1,1,1,1,166.666667,220000.000000
1,1,1,1,163.934426,220000.000000
1,1,1,1,161.290323,220000.000000
1,1,1,1,158.730159,220000.000000
1,1,1,1,156.250000,220000.000000
1,1,1,1,153.846154,220000.000000
1,1,1,1,151.515152,220000.000000
1,1,1,1,149.253731,220000.000000
