SummaryId,EPCalc,EPType,ReturnPeriod,Loss
1,1,1,6.172840,151116.000000
1,1,1,6.134969,151116.000000
1,1,1,6.097561,151116.000000
1,1,1,6.060606,151116.000000
1,1,1,6.024096,151116.000000
1,1,1,5.988024,151116.000000
1,1,1,5.952381,151116.000000
1,1,1,5.917160,151116.000000
1,1,1,5.882353,151116.000000
1,1,1,5.847953,151116.000000
1,1,1,5.813953,151116.000000
1,1,1,5.780347,151116.000000
1,1,1,5.747126,151116.000000
1,1,1,5.714286,151116.000000
1,1,1,5.681818,151116.000000
1,1,1,5.649718,151116.000000
1,1,1,5.617978,151116.000000
1,1,1,5.586592,151116.000000
1,1,1,5.555556,151116.000000
1,1,1,5.524862,151116.000000
1,1,1,5.494505,151116.000000
1,1,1,5.464481,151116.000000
1,1,1,5.434783,151116.000000
1,1,1,5.405405,151116.000000
1,1,1,5.376344,151116.000000
1,1,1,5.347594,151116.000000
1,1,1,5.319149,151116.000000
1,1,1,5.291005,151116.000000
1,1,1,5.263158,151116.000000
1,1,1,5.235602,151116.000000
1,1,1,5.208333,151116.000000
1,1,1,5.181347,151116.000000
1,1,1,5.154639,151116.000000
1,1,1,5.128205,151116.000000
1,1,1,5.102041,151116.000000
1,1,1,5.076142,151116.000000
1,1,1,5.050505,151116.000000
1,1,1,5.025126,151116.000000
1,1,1,5.000000,151116.000000
1,1,1,4.975124,151116.000000
1,1,1,4.950495,151116.000000
1,1,1,4.926108,151116.000000
1,1,1,4.901961,151116.000000
1,1,1,4.878049,151116.000000
1,1,1,4.854369,151116.000000
1,1,1,4.830918,151116.000000
1,1,1,4.807692,151116.000000
1,1,1,4.784689,151116.000000
1,1,1,4.761905,151116.000000
1,1,1,4.739336,151116.000000
1,1,1,4.716981,151116.000000
1,1,1,4.694836,151116.000000
1,1,1,4.672897,151116.000000
1,1,1,4.651163,151116.000000
1,1,1,4.629630,151116.000000
1,1,1,4.608295,151116.000000
1,1,1,4.587156,151116.000000
1,1,1,4.566210,151116.000000
1,1,1,4.545455,151116.000000
1,1,1,4.524887,151116.000000
1,1,1,4.504505,151116.000000
1,1,1,4.484305,151116.000000
1,1,1,4.464286,151116.000000
1,1,1,4.444444,151116.000000
1,1,1,4.424779,151116.000000
1,1,1,4.405286,151116.000000
1,1,1,4.385965,151116.000000
1,1,1,4.366812,151116.000000
1,1,1,4.347826,151116.000000
1,1,1,4.329004,151116.000000
1,1,1,4.310345,151116.000000
1,1,1,4.291845,151116.000000
1,1,1,4.273504,151116.000000
1,1,1,4.255319,151116.000000
1,1,1,4.237288,151116.000000
1,1,1,4.219409,151116.000000
1,1,1,4.201681,151116.000000
1,1,1,4.184100,151116.000000
1,1,1,4.166667,151116.000000
1,1,1,4.149378,151116.000000
1,1,1,4.132231,151116.000000
1,1,1,4.115226,151116.000000
1,1,1,4.098361,151116.000000
1,1,1,4.081633,151116.000000
1,1,1,4.065041,151116.000000
1,1,1,4.048583,151116.000000
1,1,1,4.032258,151116.000000
1,1,1,4.016064,151116.000000
1,1,1,4.000000,151116.000000
1,1,1,3.984064,151116.000000
1,1,1,3.968254,151116.000000
1,1,1,3.952569,151116.000000
1,1,1,3.937008,151116.000000
1,1,1,3.921569,151116.000000
1,1,1,3.906250,151116.000000
1,1,1,3.891051,151116.000000
1,1,1,3.875969,151116.000000
1,1,1,3.861004,151116.000000
1,1,1,3.846154,151116.000000
1,1,1,3.831418,151116.000000
1,1,1,3.816794,151116.000000
1,1,1,3.802281,151116.000000
1,1,1,3.787879,151116.000000
1,1,1,3.773585,151116.000000
1,1,1,3.759398,151116.000000
1,1,1,3.745318,151116.000000
1,1,1,3.731343,151116.000000
1,1,1,3.717472,151116.000000
1,1,1,3.703704,151116.000000
1,1,1,3.690037,151116.000000
1,1,1,3.676471,151116.000000
1,1,1,3.663004,151116.000000
1,1,1,3.649635,151116.000000
1,1,1,3.636364,151116.000000
1,1,1,3.623188,151116.000000
1,1,1,3.610108,151116.000000
1,1,1,3.597122,151116.000000
1,1,1,3.584229,151116.000000
1,1,1,3.571429,151116.000000
1,1,1,3.558719,151116.000000
1,1,1,3.546099,151116.000000
1,1,1,3.533569,151116.000000
1,1,1,3.521127,151116.000000
1,1,1,3.508772,151116.000000
1,1,1,3.496503,151116.000000
1,1,1,3.484321,151116.000000
1,1,1,3.472222,151116.000000
1,1,1,3.460208,151116.000000
1,1,1,3.448276,151116.000000
1,1,1,3.436426,151116.000000
1,1,1,3.424658,151116.000000
1,1,1,3.412969,151116.000000
1,1,1,3.401361,151116.000000
1,1,1,3.389831,151116.000000
1,1,1,3.378378,151116.000000
1,1,1,3.367003,151116.000000
1,1,1,3.355705,151116.000000
1,1,1,3.344482,75558.000000
1,1,1,3.333333,75558.000000
1,1,1,3.322259,75558.000000
1,1,1,3.311258,75558.000000
1,1,1,3.300330,75558.000000
1,1,1,3.289474,75558.000000
1,1,1,3.278689,75558.000000
1,1,1,3.267974,75558.000000
1,1,1,3.257329,75558.000000
1,1,1,3.246753,75558.000000
1,1,1,3.236246,75558.000000
1,1,1,3.225806,75558.000000
1,1,1,3.215434,75558.000000
1,1,1,3.205128,75558.000000
1,1,1,3.194888,75558.000000
1,1,1,3.184713,75558.000000
1,1,1,3.174603,75558.000000
1,1,1,3.164557,75558.000000
1,1,2,1000.000000,1470000.000000
1,1,2,500.000000,1470000.000000
1,1,2,333.333333,1470000.000000
1,1,2,250.000000,1470000.000000
1,1,2,200.000000,1470000.000000
1,1,2,166.666667,1470000.000000
1,1,2,142.857143,1470000.000000
1,1,2,125.000000,1470000.000000
1,1,2,111.111111,1470000.000000
1,1,2,100.000000,1470000.000000
1,1,2,90.909091,1470000.000000
1,1,2,83.333333,1470000.000000
1,1,2,76.923077,1470000.000000
